"Offense","Defense","Home","Offense Score","Defense Score","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","13","26","3","3","31","1","10","false","0","Pass Incompletion"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","13","26","3","3","31","2","10","false","4","Rush"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","13","26","3","3","27","3","6","false","1","Rush"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","6","26","3","3","26","4","5","false","43","Field Goal Missed"
"Jacksonville State","UTEP","Jacksonville State","10","0","2","6","26","3","3","74","1","10","false","1","Rush"
"Jacksonville State","UTEP","Jacksonville State","10","0","2","6","26","3","3","73","2","9","false","0","Rush"
"Jacksonville State","UTEP","Jacksonville State","10","0","2","6","26","3","3","73","3","9","false","0","Pass Incompletion"
"Jacksonville State","UTEP","Jacksonville State","10","0","2","5","24","3","3","73","4","9","false","0","Punt"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","5","24","3","3","71","1","10","false","11","Pass Reception"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","5","24","3","3","60","1","10","false","26","Pass Reception"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","5","24","3","3","34","1","10","false","5","Rush"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","5","24","3","3","29","2","5","false","1","Pass Reception"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","2","24","3","3","28","3","4","false","-11","Sack"
"Jacksonville State","UTEP","Jacksonville State","10","0","2","2","24","3","3","61","1","10","false","3","Rush"
"Jacksonville State","UTEP","Jacksonville State","10","0","2","2","24","3","3","58","2","7","false","4","Rush"
"Jacksonville State","UTEP","Jacksonville State","10","0","2","2","24","3","3","54","3","3","false","0","Pass Incompletion"
"Jacksonville State","UTEP","Jacksonville State","10","0","2","1","31","3","3","54","4","3","false","0","Punt"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","1","31","3","3","74","1","10","false","0","Pass Incompletion"
"UTEP","Jacksonville State","Jacksonville State","0","10","2","1","31","3","3","74","2","10","false","11","Pass Reception"
